"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/chosen","dpo-beta2.0_lr5e-06 - train/rewards/chosen__MIN","dpo-beta2.0_lr5e-06 - train/rewards/chosen__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/chosen","dpo-beta1.0_lr5e-06 - train/rewards/chosen__MIN","dpo-beta1.0_lr5e-06 - train/rewards/chosen__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/chosen","qwen25-7b-dpo-socialiqa - train/rewards/chosen__MIN","qwen25-7b-dpo-socialiqa - train/rewards/chosen__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"440","3.6881288290023804","3.6881288290023804","3.6881288290023804","51","51","51","2.4585895776748656","2.4585895776748656","2.4585895776748656","51","51","51","0.9529203483524422","0.40173523779958487","1.4648051143623888","45","45","45"
"450","3.856536793708801","3.856536793708801","3.856536793708801","52","52","52","2.531760048866272","2.531760048866272","2.531760048866272","52","52","52","1.0388351215670506","0.3663840848021209","1.4845164116472005","46","46","46"
"460","4.531476855278015","4.531476855278015","4.531476855278015","54","54","54","3.1672188997268678","3.1672188997268678","3.1672188997268678","54","54","54","1.6722114704549311","0.6760908525437117","2.3922166027128697","47","47","47"
"470","3.8184529542922974","3.8184529542922974","3.8184529542922974","55","55","55","2.6023715138435364","2.6023715138435364","2.6023715138435364","55","55","55","1.310654584194223","0.43811182826757433","1.9757560431957244","48","48","48"
"480","3.9937060594558718","3.9937060594558718","3.9937060594558718","56","56","56","2.803387689590454","2.803387689590454","2.803387689590454","56","56","56","1.5243419035958745","0.5492269941605628","2.27092495765537","49","49","49"
"490","4.192607975006103","4.192607975006103","4.192607975006103","57","57","57","2.8710374236106873","2.8710374236106873","2.8710374236106873","57","57","57","1.5043151765751341","0.5040261664427816","2.387338246032596","50","50","50"
"500","4.198462247848511","4.198462247848511","4.198462247848511","58","58","58","2.7844536304473877","2.7844536304473877","2.7844536304473877","58","58","58","1.5098289584120115","0.5067753342911601","2.3739887226372955","51","51","51"
"510","4.51740939617157","4.51740939617157","4.51740939617157","60","60","60","3.1343186855316163","3.1343186855316163","3.1343186855316163","60","60","60","1.6888876709776621","0.5459918070584535","2.6369479928165673","52","52","52"
"520","4.327191257476807","4.327191257476807","4.327191257476807","61","61","61","3.120713138580322","3.120713138580322","3.120713138580322","61","61","61","1.750513277994469","0.5553773444611579","2.793553692381829","53","53","53"
"530","5.055506467819214","5.055506467819214","5.055506467819214","62","62","62","3.5487265825271606","3.5487265825271606","3.5487265825271606","62","62","62","1.9010818377758067","0.57982037961483","3.0785622050985695","54","54","54"
"540","4.738523960113525","4.738523960113525","4.738523960113525","63","63","63","3.220690941810608","3.220690941810608","3.220690941810608","63","63","63","1.8328102097846568","0.5424273002892732","3.0364452876150607","55","55","55"
"550","4.604682755470276","4.604682755470276","4.604682755470276","64","64","64","3.2674777626991274","3.2674777626991274","3.2674777626991274","64","64","64","1.8716440215706827","0.5780456313863397","3.091853248514235","56","56","56"
"560","4.8036939859390255","4.8036939859390255","4.8036939859390255","66","66","66","3.362695372104645","3.362695372104645","3.362695372104645","66","66","66","1.7492774799155695","0.5116428161039949","2.8703056022524835","57","57","57"
"570","4.74898509979248","4.74898509979248","4.74898509979248","67","67","67","3.340127742290497","3.340127742290497","3.340127742290497","67","67","67","1.7346636109364528","0.5017700479365885","2.817257398739457","58","58","58"
"580","4.5417147397995","4.5417147397995","4.5417147397995","68","68","68","3.093053126335144","3.093053126335144","3.093053126335144","68","68","68","1.57393136646909","0.4251532825175673","2.5999792201444505","59","59","59"
"590","4.9685567140579225","4.9685567140579225","4.9685567140579225","69","69","69","3.462511992454529","3.462511992454529","3.462511992454529","69","69","69","1.7963830500220261","0.4838040043599904","2.9552460418082775","60","60","60"
"600","4.882739996910095","4.882739996910095","4.882739996910095","70","70","70","3.4602022767066956","3.4602022767066956","3.4602022767066956","70","70","70","1.7386129352574546","0.45621045362204315","2.9412092922255395","61","61","61"
"610","4.556304287910462","4.556304287910462","4.556304287910462","72","72","72","3.2365259170532226","3.2365259170532226","3.2365259170532226","72","72","72","1.4979740428738297","0.3160685137845576","2.5613198053091764","63","63","63"
"620","5.090236330032349","5.090236330032349","5.090236330032349","73","73","73","3.6253771066665648","3.6253771066665648","3.6253771066665648","73","73","73","1.855356845073402","0.5492586120963097","3.07930948510766","64","64","64"
"630","4.974390769004822","4.974390769004822","4.974390769004822","74","74","74","3.5852539420127867","3.5852539420127867","3.5852539420127867","74","74","74","1.7880649947561322","0.39359294762834907","3.172688042372465","65","65","65"
"640","5.130007314682007","5.130007314682007","5.130007314682007","75","75","75","3.7042056918144226","3.7042056918144226","3.7042056918144226","75","75","75","1.8539596870541573","0.4699782388284802","3.175812123157084","66","66","66"
"650","4.875284814834595","4.875284814834595","4.875284814834595","76","76","76","3.6003827095031737","3.6003827095031737","3.6003827095031737","76","76","76","1.7506375854679697","0.4319200761150569","2.9334204874932768","67","67","67"
"660","5.069535851478577","5.069535851478577","5.069535851478577","78","78","78","3.6197027921676637","3.6197027921676637","3.6197027921676637","78","78","78","1.7220018581952898","0.44095756993629037","2.801240516640246","68","68","68"
"661","6.581913757324219","6.581913757324219","6.581913757324219","79","79","79","5.031159210205078","5.031159210205078","5.031159210205078","79","79","79","2.2776962339878084","0.7259947478771209","3.83836190700531","69","69","69"
